time,gFx,gFy,gFz,wx,wy,wz,
0.129647,0.0076,0.1071,1.0240,0.0000,0.0000,0.0000,
0.188096,-0.0042,0.1027,1.0227,0.0000,0.0000,0.0000,
0.188703,-0.0042,0.1027,1.0227,0.0442,0.0194,0.0039,
0.189151,-0.0042,0.1027,1.0227,0.0442,0.0194,0.0039,
0.247668,-0.0042,0.1027,1.0227,0.0559,0.0486,0.0110,
0.248371,-0.0096,0.1042,1.0120,0.0559,0.0486,0.0110,
0.248886,-0.0096,0.1042,1.0120,0.0559,0.0486,0.0110,
0.305052,-0.0096,0.1042,1.0120,0.0097,0.0074,0.0397,
0.305558,-0.0191,0.1052,1.0189,0.0097,0.0074,0.0397,
0.305969,-0.0191,0.1052,1.0189,0.0097,0.0074,0.0397,
0.364996,-0.0071,0.1047,1.0070,0.0097,0.0074,0.0397,
0.365704,-0.0071,0.1047,1.0070,0.0097,0.0074,0.0397,
0.424231,-0.0071,0.1047,1.0070,0.0304,-0.0345,0.0045,
0.424767,-0.0004,0.1025,1.0134,0.0304,-0.0345,0.0045,
0.425198,-0.0004,0.1025,1.0134,0.0304,-0.0345,0.0045,
0.482995,-0.0004,0.1025,1.0134,0.0392,-0.0015,-0.0392,
0.483566,-0.0004,0.1025,1.0134,0.0392,-0.0015,-0.0392,
0.483998,-0.0026,0.1140,1.0146,0.0392,-0.0015,-0.0392,
0.541144,-0.0026,0.1140,1.0146,0.0563,-0.0028,-0.1073,
0.541837,-0.0026,0.1140,1.0146,0.0563,-0.0028,-0.1073,
0.600609,0.0043,0.1189,1.0130,0.0563,-0.0028,-0.1073,
0.602098,0.0043,0.1189,1.0130,0.0076,0.0033,-0.1758,
0.603004,0.0043,0.1189,1.0130,0.0076,0.0033,-0.1758,
0.659247,0.0043,0.1189,1.0130,-0.0132,0.0058,-0.2916,
0.660695,0.0080,0.1216,1.0003,-0.0132,0.0058,-0.2916,
0.661980,0.0080,0.1216,1.0003,-0.0132,0.0058,-0.2916,
0.717875,0.0087,0.1039,0.9974,-0.0132,0.0058,-0.2916,
