
time,gFx,gFy,gFz,wx,wy,wz,
0.031647,-0.0042,0.0306,1.0248,0.0000,0.0000,0.0000,
0.092369,-0.0007,0.0217,1.0275,0.0000,0.0000,0.0000,
0.093201,-0.0015,0.0198,1.0312,0.0000,0.0000,0.0000,
0.093770,0.0022,0.0205,1.0260,0.0000,0.0000,0.0000,
0.143059,0.0024,0.0210,1.0238,0.0000,0.0000,0.0000,
0.143472,0.0034,0.0159,1.0317,0.0000,0.0000,0.0000,
0.143959,0.0090,0.0129,1.0295,0.0000,0.0000,0.0000,
0.144357,0.0090,0.0129,1.0295,0.0000,0.0000,0.0000,
0.168267,0.0071,0.0234,1.0224,0.0000,0.0000,0.0000,
0.221412,0.0037,0.0256,1.0282,0.0000,0.0000,0.0000,
0.221909,0.0024,0.0278,1.0158,0.0000,0.0000,0.0000,
0.222223,0.0007,0.0371,1.0204,0.0000,0.0000,0.0000,
0.222558,0.0007,0.0371,1.0204,0.0000,0.0000,0.0000,
0.222828,0.0007,0.0371,1.0204,-0.0073,0.0655,0.0270,
0.279636,0.0071,0.0391,1.0097,-0.0073,0.0655,0.0270,
0.280108,0.0005,0.0491,1.0082,-0.0073,0.0655,0.0270,
0.280439,-0.0037,0.0496,1.0024,-0.0073,0.0655,0.0270,
0.280764,-0.0037,0.0496,1.0024,-0.0073,0.0655,0.0270,
0.281066,-0.0037,0.0496,1.0024,0.0656,0.0293,-0.0024,
0.338930,-0.0037,0.0496,1.0024,0.0664,0.0263,-0.0077,
0.339436,-0.0103,0.0506,1.0024,0.0664,0.0263,-0.0077,
0.339725,-0.0195,0.0425,1.0119,0.0664,0.0263,-0.0077,
0.340064,-0.0173,0.0367,1.0131,0.0664,0.0263,-0.0077,
0.340408,-0.0173,0.0367,1.0131,0.0664,0.0263,-0.0077,
0.358460,-0.0168,0.0327,1.0146,0.0664,0.0263,-0.0077,
0.417877,-0.0168,0.0327,1.0146,0.0028,-0.0085,-0.0130,
0.418387,-0.0269,0.0362,1.0268,0.0028,-0.0085,-0.0130,
0.418796,-0.0234,0.0354,1.0246,0.0028,-0.0085,-0.0130,
0.419108,-0.0173,0.0364,1.0334,0.0028,-0.0085,-0.0130,
0.419519,-0.0173,0.0364,1.0334,0.0028,-0.0085,-0.0130,
0.475816,-0.0173,0.0364,1.0334,0.0102,-0.0057,0.0615,
0.476330,-0.0173,0.0364,1.0334,0.0102,-0.0057,0.0615,
0.476650,-0.0107,0.0472,1.0295,0.0102,-0.0057,0.0615,
0.476920,-0.0107,0.0537,1.0155,0.0102,-0.0057,0.0615,
0.477262,-0.0232,0.0567,1.0053,0.0102,-0.0057,0.0615,
0.535441,-0.0232,0.0567,1.0053,0.0859,0.0236,0.0824,
0.537436,-0.0264,0.0608,0.9982,0.0859,0.0236,0.0824,
0.538619,-0.0149,0.0696,1.0026,0.0859,0.0236,0.0824,
0.539485,0.0017,0.0774,1.0038,0.0859,0.0236,0.0824,
0.539887,0.0017,0.0774,1.0038,0.0859,0.0236,0.0824,
0.559305,-0.0032,0.0730,1.0114,0.0859,0.0236,0.0824,
0.560337,-0.0032,0.0730,1.0114,0.0859,0.0236,0.0824,
0.613321,-0.0032,0.0730,1.0114,0.0859,0.0236,0.0824,
0.614223,-0.0032,0.0730,1.0114,0.0025,0.0338,0.0938,
0.615698,-0.0242,0.0623,1.0180,0.0025,0.0338,0.0938,
0.616697,-0.0313,0.0623,1.0204,0.0025,0.0338,0.0938,
0.617385,-0.0173,0.0638,1.0234,0.0025,0.0338,0.0938,
0.673343,-0.0083,0.0767,1.0212,0.0025,0.0338,0.0938,
0.674519,-0.0044,0.0823,1.0158,0.0025,0.0338,0.0938,
0.675374,-0.0044,0.0823,1.0158,0.0025,0.0338,0.0938,
0.676672,-0.0044,0.0823,1.0158,-0.0289,0.0363,0.1002,
0.677945,-0.0056,0.0752,1.0055,-0.0289,0.0363,0.1002,
0.692284,-0.0002,0.0694,1.0033,-0.0289,0.0363,0.1002,
0.755057,-0.0002,0.0694,1.0033,0.0276,0.0389,0.0276,
0.755962,0.0032,0.0840,1.0102,0.0276,0.0389,0.0276,
0.756777,0.0254,0.0928,0.9970,0.0276,0.0389,0.0276,
0.757543,0.0251,0.0955,1.0058,0.0276,0.0389,0.0276,
0.758372,0.0251,0.0955,1.0058,0.0276,0.0389,0.0276,
0.810640,0.0098,0.0965,1.0014,0.0276,0.0389,0.0276,
0.811746,-0.0083,0.0987,0.9833,0.0276,0.0389,0.0276,
0.812966,-0.0195,0.1029,0.9796,0.0276,0.0389,0.0276,
0.814210,-0.0195,0.1029,0.9796,0.0276,0.0389,0.0276,
0.815092,-0.0195,0.1029,0.9796,0.0053,-0.0249,-0.0365,
0.869431,-0.0042,0.1134,0.9938,0.0053,-0.0249,-0.0365,
0.870669,0.0000,0.1038,1.0221,0.0053,-0.0249,-0.0365,
0.871843,-0.0254,0.0892,1.0373,0.0053,-0.0249,-0.0365,
0.872848,-0.0254,0.0892,1.0373,0.0053,-0.0249,-0.0365,
0.873709,-0.0254,0.0892,1.0373,-0.0841,0.0398,-0.0754,
0.893559,-0.0403,0.0811,1.0502,-0.0841,0.0398,-0.0754,
0.947192,-0.0403,0.0811,1.0502,-0.1608,-0.0646,-0.0188,
0.948741,-0.0403,0.0811,1.0502,-0.1608,-0.0646,-0.0188,
0.949574,-0.0073,0.0941,1.0536,-0.1608,-0.0646,-0.0188,
0.950675,0.0340,0.1300,1.0292,-0.1608,-0.0646,-0.0188,
0.951689,0.0533,0.1476,1.0182,-0.1608,-0.0646,-0.0188,
1.009339,0.0533,0.1476,1.0182,0.0334,-0.0857,0.1041,
1.010919,0.0533,0.1476,1.0182,0.0334,-0.0857,0.1041,
1.011774,0.0423,0.1459,1.0018,0.0334,-0.0857,0.1041,
1.012604,0.0203,0.1358,0.9989,0.0334,-0.0857,0.1041,
1.013431,0.0085,0.1156,0.9896,0.0334,-0.0857,0.1041,
1.025993,0.0039,0.1094,0.9852,0.0334,-0.0857,0.1041,
1.027018,0.0039,0.1094,0.9852,0.0334,-0.0857,0.1041,
1.085164,0.0039,0.1094,0.9852,0.0598,-0.0176,-0.0312,
1.086943,0.0103,0.1060,0.9826,0.0598,-0.0176,-0.0312,
1.087960,0.0059,0.1070,0.9860,0.0598,-0.0176,-0.0312,
1.088997,-0.0090,0.1070,0.9921,0.0598,-0.0176,-0.0312,
1.089983,-0.0090,0.1070,0.9921,0.0598,-0.0176,-0.0312,
1.143676,-0.0125,0.1087,0.9960,0.0598,-0.0176,-0.0312,
1.144292,-0.0117,0.1204,1.0080,0.0598,-0.0176,-0.0312,
1.144787,-0.0117,0.1204,1.0080,0.0182,0.0534,-0.0100,
1.145549,0.0005,0.1246,1.0031,0.0182,0.0534,-0.0100,
1.146088,0.0005,0.1246,1.0031,0.0182,0.0534,-0.0100,
1.168202,0.0068,0.1459,1.0085,0.0182,0.0534,-0.0100,
1.222833,0.0068,0.1459,1.0085,0.1079,0.0023,0.0929,
1.224474,0.0281,0.1837,1.0119,0.1079,0.0023,0.0929,
1.225319,0.0620,0.1991,1.0175,0.1079,0.0023,0.0929,
1.226447,0.0689,0.1986,1.0356,0.1079,0.0023,0.0929,
1.227536,0.0689,0.1986,1.0356,0.1079,0.0023,0.0929,
1.281182,0.0594,0.1676,1.0539,0.1079,0.0023,0.0929,
1.282426,0.0310,0.1437,1.0536,0.1079,0.0023,0.0929,
1.283219,0.0310,0.1437,1.0536,0.1079,0.0023,0.0929,
1.284114,0.0310,0.1437,1.0536,0.0738,-0.0744,0.1368,
1.284885,0.0061,0.1331,1.0431,0.0738,-0.0744,0.1368,
1.340383,-0.0010,0.1407,1.0356,0.0738,-0.0744,0.1368,
1.341715,-0.0020,0.1427,1.0412,0.0738,-0.0744,0.1368,
1.343171,0.0020,0.1309,1.0669,0.0738,-0.0744,0.1368,
1.344441,0.0020,0.1309,1.0669,0.0876,-0.0058,0.0290,
1.345906,0.0020,0.1309,1.0669,0.0876,-0.0058,0.0290,
1.359084,-0.0389,0.1481,1.0781,0.0876,-0.0058,0.0290,
1.419109,-0.0389,0.1481,1.0781,0.1206,0.0375,0.1119,
1.420831,-0.0401,0.1268,1.1189,0.1206,0.0375,0.1119,
1.422481,-0.0193,0.0975,1.1252,0.1206,0.0375,0.1119,
1.423651,-0.0010,0.0838,1.1457,0.1206,0.0375,0.1119,
1.424855,-0.0010,0.0838,1.1457,0.1206,0.0375,0.1119,
1.477660,0.0210,0.0718,1.1553,0.1206,0.0375,0.1119,
1.479534,0.0078,0.0884,1.1484,0.1206,0.0375,0.1119,
1.480878,0.0078,0.0884,1.1484,0.1206,0.0375,0.1119,
1.482169,0.0078,0.0884,1.1484,0.0831,-0.0534,0.2074,
1.491802,-0.0034,0.0968,1.1316,0.0831,-0.0534,0.2074,
1.536633,-0.0034,0.0968,1.1316,0.2814,-0.0071,0.2294,
1.537848,-0.0066,0.0997,1.1101,0.2814,-0.0071,0.2294,
1.538757,0.0103,0.0840,1.0942,0.2814,-0.0071,0.2294,
1.539545,0.0291,0.0613,1.0832,0.2814,-0.0071,0.2294,
1.540532,0.0291,0.0613,1.0832,0.2814,-0.0071,0.2294,
1.558838,0.0256,0.0320,1.0686,0.2814,-0.0071,0.2294,
1.559916,0.0256,0.0320,1.0686,0.2814,-0.0071,0.2294,
1.615056,0.0256,0.0320,1.0686,0.2070,0.0294,0.2516,
1.619335,0.0078,0.0034,1.0326,0.2070,0.0294,0.2516,
1.620483,-0.0151,-0.0112,1.0155,0.2070,0.0294,0.2516,
1.621560,-0.0151,-0.0112,1.0155,0.2070,0.0294,0.2516,
1.622714,-0.0298,-0.0159,0.9806,0.2070,0.0294,0.2516,
1.673036,-0.0298,-0.0159,0.9806,0.3537,0.1986,0.2491,
1.674245,-0.0362,-0.0100,0.9523,0.3537,0.1986,0.2491,
1.675041,-0.0396,0.0002,0.9393,0.3537,0.1986,0.2491,
1.675881,-0.0232,0.0017,0.9540,0.3537,0.1986,0.2491,
1.676714,-0.0232,0.0017,0.9540,0.3537,0.1986,0.2491,
1.732966,-0.0232,0.0017,0.9540,0.3537,0.1986,0.2491,
1.734394,-0.0049,0.0088,0.9681,0.3537,0.1986,0.2491,
1.735671,-0.0042,0.0186,0.9804,0.3537,0.1986,0.2491,
1.736817,0.0115,0.0310,1.0001,0.3537,0.1986,0.2491,
1.737798,0.0115,0.0310,1.0001,0.2708,0.0360,0.2995,
1.759026,0.0335,0.0518,1.0024,0.2708,0.0360,0.2995,
1.811075,0.0335,0.0518,1.0024,0.2708,0.0360,0.2995,
1.811935,0.0335,0.0518,1.0024,0.0705,-0.0554,0.2496,
1.812909,0.0393,0.0547,0.9816,0.0705,-0.0554,0.2496,
1.813557,0.0232,0.0686,0.9655,0.0705,-0.0554,0.2496,
1.814372,0.0061,0.0848,0.9481,0.0705,-0.0554,0.2496,
1.869592,-0.0090,0.1031,0.9376,0.0705,-0.0554,0.2496,
1.870383,-0.0134,0.1168,0.9491,0.0705,-0.0554,0.2496,
1.870890,-0.0010,0.1217,0.9459,0.0705,-0.0554,0.2496,
1.871516,-0.0010,0.1217,0.9459,0.0705,-0.0554,0.2496,
1.872067,-0.0010,0.1217,0.9459,0.0718,0.0563,0.0687,
1.892827,0.0083,0.1314,0.9457,0.0718,0.0563,0.0687,
1.948685,0.0215,0.1419,0.9525,0.0718,0.0563,0.0687,
1.950207,0.0173,0.1571,0.9491,0.0718,0.0563,0.0687,
1.951503,0.0168,0.1615,0.9476,0.0718,0.0563,0.0687,
1.952446,0.0168,0.1615,0.9476,0.0718,0.0563,0.0687,
1.953193,0.0168,0.1615,0.9476,-0.0242,-0.0169,0.0654,
2.007763,0.0110,0.1695,0.9520,-0.0242,-0.0169,0.0654,
2.008881,0.0151,0.1798,0.9308,-0.0242,-0.0169,0.0654,
2.009855,0.0100,0.2013,0.9090,-0.0242,-0.0169,0.0654,
2.010701,0.0100,0.2013,0.9090,-0.0242,-0.0169,0.0654,
2.011222,0.0100,0.2013,0.9090,0.1484,-0.1425,-0.1277,
2.066527,0.0100,0.2013,0.9090,0.2048,-0.0350,-0.1765,
2.068429,-0.0056,0.2223,0.9102,0.2048,-0.0350,-0.1765,
2.069503,-0.0083,0.2355,0.9095,0.2048,-0.0350,-0.1765,
2.070602,-0.0081,0.2416,0.9181,0.2048,-0.0350,-0.1765,
2.071707,-0.0081,0.2416,0.9181,0.2048,-0.0350,-0.1765,
2.093215,-0.0200,0.2497,0.9215,0.2048,-0.0350,-0.1765,
2.094738,-0.0200,0.2497,0.9215,0.2048,-0.0350,-0.1765,
2.144966,-0.0200,0.2497,0.9215,0.2048,-0.0350,-0.1765,
2.145902,-0.0200,0.2497,0.9215,0.0322,-0.0250,-0.3044,
2.146729,-0.0337,0.2582,0.9320,0.0322,-0.0250,-0.3044,
2.147374,-0.0569,0.2541,0.9630,0.0322,-0.0250,-0.3044,
2.147961,-0.0640,0.2470,1.0028,0.0322,-0.0250,-0.3044,
2.167938,-0.0594,0.2379,1.0343,0.0322,-0.0250,-0.3044,
2.222115,-0.0594,0.2379,1.0343,-0.2226,-0.0613,-0.3135,
2.223486,-0.0454,0.2340,1.0456,-0.2226,-0.0613,-0.3135,
2.224799,-0.0442,0.2538,1.0634,-0.2226,-0.0613,-0.3135,
2.225687,-0.0603,0.2968,1.0517,-0.2226,-0.0613,-0.3135,
2.226791,-0.0603,0.2968,1.0517,-0.2226,-0.0613,-0.3135,
2.282312,-0.0476,0.3161,1.0798,-0.2226,-0.0613,-0.3135,
2.283403,0.0173,0.2648,1.1492,-0.2226,-0.0613,-0.3135,
2.284129,0.0498,0.1891,1.1702,-0.2226,-0.0613,-0.3135,
2.285006,0.0498,0.1891,1.1702,-0.0566,-0.0725,-0.1974,
2.286970,0.0498,0.1891,1.1702,-0.0566,-0.0725,-0.1974,
2.340859,0.0210,0.1251,1.1670,-0.0566,-0.0725,-0.1974,
2.342588,-0.0149,0.0997,1.1492,-0.0566,-0.0725,-0.1974,
2.343675,-0.0063,0.1046,1.1628,-0.0566,-0.0725,-0.1974,
2.344993,-0.0063,0.1046,1.1628,-0.0566,-0.0725,-0.1974,
2.345954,-0.0063,0.1046,1.1628,-0.2647,-0.2145,-0.3119,
2.400887,0.0428,0.1094,1.1851,-0.2647,-0.2145,-0.3119,
2.402786,0.1016,0.0608,1.1418,-0.2647,-0.2145,-0.3119,
2.403826,0.1019,0.0306,1.0974,-0.2647,-0.2145,-0.3119,
2.404876,0.1019,0.0306,1.0974,-0.0263,0.1474,-0.1245,
2.406207,0.1019,0.0306,1.0974,-0.0263,0.1474,-0.1245,
2.425785,0.0808,0.0332,1.0341,-0.0263,0.1474,-0.1245,
2.478395,0.0122,0.0418,0.9821,-0.0263,0.1474,-0.1245,
2.480016,-0.0327,0.0342,1.0192,-0.0263,0.1474,-0.1245,
2.481098,0.0076,0.0210,1.0214,-0.0263,0.1474,-0.1245,
2.482181,0.0076,0.0210,1.0214,-0.0263,0.1474,-0.1245,
2.483591,0.0076,0.0210,1.0214,0.2947,0.1425,-0.4216,
2.537414,0.0857,0.0318,0.9906,0.2947,0.1425,-0.4216,
2.538432,0.1002,0.0628,1.0004,0.2947,0.1425,-0.4216,
2.539280,0.0525,0.0574,0.9957,0.2947,0.1425,-0.4216,
2.540039,0.0525,0.0574,0.9957,0.6485,0.0860,-0.1124,
2.540941,0.0525,0.0574,0.9957,0.6485,0.0860,-0.1124,
2.559095,0.0195,0.0459,0.9887,0.6485,0.0860,-0.1124,
2.560056,0.0195,0.0459,0.9887,0.6485,0.0860,-0.1124,
2.617192,0.0195,0.0459,0.9887,0.2369,0.0573,-0.3063,
2.618260,0.0195,0.0459,0.9887,0.2369,0.0573,-0.3063,
2.618721,0.0056,0.0782,0.9833,0.2369,0.0573,-0.3063,
2.619134,0.0239,0.1087,0.9405,0.2369,0.0573,-0.3063,
2.619750,0.0159,0.1495,0.9083,0.2369,0.0573,-0.3063,
2.675278,0.0159,0.1495,0.9083,0.1674,-0.0074,-0.1407,
2.676863,-0.0063,0.1825,0.8838,0.1674,-0.0074,-0.1407,
2.677928,-0.0188,0.1922,0.8653,0.1674,-0.0074,-0.1407,
2.679070,-0.0210,0.1932,0.8951,0.1674,-0.0074,-0.1407,
2.680306,-0.0210,0.1932,0.8951,0.1674,-0.0074,-0.1407,
2.733991,-0.0173,0.1844,0.9454,0.1674,-0.0074,-0.1407,
2.735186,0.0042,0.1842,0.9530,0.1674,-0.0074,-0.1407,
2.736049,0.0168,0.1879,0.9501,0.1674,-0.0074,-0.1407,
2.737380,0.0168,0.1879,0.9501,0.1674,-0.0074,-0.1407,
2.738522,0.0168,0.1879,0.9501,-0.0146,-0.1930,-0.1214,
2.758902,0.0046,0.1981,0.9469,-0.0146,-0.1930,-0.1214,
2.812152,-0.0068,0.2055,0.9664,-0.0146,-0.1930,-0.1214,
2.813524,-0.0076,0.2118,0.9552,-0.0146,-0.1930,-0.1214,
2.814565,-0.0056,0.2199,0.9650,-0.0146,-0.1930,-0.1214,
2.815616,-0.0056,0.2199,0.9650,-0.0146,-0.1930,-0.1214,
2.816401,-0.0056,0.2199,0.9650,-0.0728,-0.0417,0.0464,
2.871878,-0.0022,0.2392,0.9711,-0.0728,-0.0417,0.0464,
2.873130,0.0198,0.2477,0.9730,-0.0728,-0.0417,0.0464,
2.874285,0.0198,0.2477,0.9730,-0.0728,-0.0417,0.0464,
2.875112,0.0198,0.2477,0.9730,0.0542,-0.0359,0.1047,
2.876265,0.0288,0.2685,0.9735,0.0542,-0.0359,0.1047,
2.891882,0.0354,0.2744,0.9733,0.0542,-0.0359,0.1047,
2.948851,0.0354,0.2744,0.9733,-0.0511,0.0208,0.1983,
2.950720,0.0354,0.2744,0.9733,-0.0511,0.0208,0.1983,
2.951503,0.0198,0.2712,0.9625,-0.0511,0.0208,0.1983,
2.952463,0.0071,0.2753,0.9586,-0.0511,0.0208,0.1983,
2.953281,0.0017,0.2905,0.9459,-0.0511,0.0208,0.1983,
3.008880,0.0017,0.2905,0.9459,0.0269,0.1451,0.2743,
3.010180,-0.0085,0.3127,0.9242,0.0269,0.1451,0.2743,
3.011746,-0.0230,0.3293,0.9071,0.0269,0.1451,0.2743,
3.012871,-0.0393,0.3354,0.9308,0.0269,0.1451,0.2743,
3.013914,-0.0393,0.3354,0.9308,0.0269,0.1451,0.2743,
3.066935,-0.0393,0.3354,0.9308,0.0269,0.1451,0.2743,
3.067988,-0.0393,0.3354,0.9308,0.0838,0.1625,0.3725,
3.069039,-0.0381,0.3259,0.9664,0.0838,0.1625,0.3725,
3.070218,-0.0281,0.3129,1.0006,0.0838,0.1625,0.3725,
3.071270,-0.0198,0.3010,1.0429,0.0838,0.1625,0.3725,
3.093437,-0.0088,0.2856,1.0705,0.0838,0.1625,0.3725,
3.094902,-0.0088,0.2856,1.0705,0.0838,0.1625,0.3725,
3.145547,-0.0088,0.2856,1.0705,0.0838,0.1625,0.3725,
3.146118,-0.0088,0.2856,1.0705,0.0160,0.1188,0.4525,
3.146694,-0.0037,0.2932,1.0871,0.0160,0.1188,0.4525,
3.147243,-0.0256,0.3208,1.0752,0.0160,0.1188,0.4525,
3.147935,-0.0537,0.3596,1.0512,0.0160,0.1188,0.4525,
3.167511,-0.0337,0.3567,1.0900,0.0160,0.1188,0.4525,
3.226678,-0.0337,0.3567,1.0900,0.2388,0.1827,0.5014,
3.228578,-0.0337,0.3567,1.0900,0.2388,0.1827,0.5014,
3.230062,0.0161,0.3183,1.1184,0.2388,0.1827,0.5014,
3.231177,0.0481,0.2724,1.1260,0.2388,0.1827,0.5014,
3.232291,0.0408,0.2531,1.0947,0.2388,0.1827,0.5014,
3.282176,0.0408,0.2531,1.0947,0.2388,0.1827,0.5014,
3.283276,0.0144,0.2663,1.0317,0.2388,0.1827,0.5014,
3.284353,-0.0112,0.2995,0.9931,0.2388,0.1827,0.5014,
3.285179,-0.0327,0.3090,0.9848,0.2388,0.1827,0.5014,
3.286353,-0.0327,0.3090,0.9848,0.2347,-0.1086,0.4260,
3.341218,-0.0327,0.3090,0.9848,0.4503,0.2059,0.3770,
3.343114,-0.0090,0.2758,0.9779,0.4503,0.2059,0.3770,
3.344321,0.0073,0.2255,1.0446,0.4503,0.2059,0.3770,
3.345442,0.0195,0.1634,1.0737,0.4503,0.2059,0.3770,
3.346535,0.0195,0.1634,1.0737,0.4503,0.2059,0.3770,
3.400899,0.0088,0.1256,1.0656,0.4503,0.2059,0.3770,
3.402977,-0.0083,0.1265,1.0160,0.4503,0.2059,0.3770,
3.404103,-0.0254,0.1520,0.9833,0.4503,0.2059,0.3770,
3.405055,-0.0254,0.1520,0.9833,-0.0302,-0.0273,0.2548,
3.406333,-0.0254,0.1520,0.9833,-0.0302,-0.0273,0.2548,
3.426021,-0.0251,0.1747,0.9464,-0.0302,-0.0273,0.2548,
3.479701,-0.0251,0.1747,0.9464,0.2885,0.2595,0.4171,
3.481929,-0.0093,0.1883,0.9310,0.2885,0.2595,0.4171,
3.483307,0.0039,0.1861,0.9525,0.2885,0.2595,0.4171,
3.484277,0.0073,0.1681,0.9762,0.2885,0.2595,0.4171,
3.485215,0.0073,0.1681,0.9762,0.2885,0.2595,0.4171,
3.538436,0.0073,0.1681,0.9762,0.2885,0.2595,0.4171,
3.539962,0.0073,0.1681,0.9762,-0.0124,-0.0329,0.2421,
3.541495,0.0068,0.1588,0.9948,-0.0124,-0.0329,0.2421,
3.542800,-0.0059,0.1634,1.0107,-0.0124,-0.0329,0.2421,
3.543700,0.0010,0.1769,1.0004,-0.0124,-0.0329,0.2421,
3.558907,0.0142,0.2028,0.9659,-0.0124,-0.0329,0.2421,
3.560708,0.0142,0.2028,0.9659,-0.0124,-0.0329,0.2421,
3.616851,0.0203,0.2338,0.9281,-0.0124,-0.0329,0.2421,
3.618816,0.0107,0.2595,0.8980,-0.0124,-0.0329,0.2421,
3.619966,0.0107,0.2595,0.8980,-0.1423,0.0854,0.3034,
3.621386,0.0107,0.2595,0.8980,-0.1423,0.0854,0.3034,
3.622600,0.0017,0.2648,0.8907,-0.1423,0.0854,0.3034,
3.675763,-0.0022,0.2631,0.9015,-0.1423,0.0854,0.3034,
3.677599,0.0017,0.2680,0.9129,-0.1423,0.0854,0.3034,
3.679134,0.0125,0.2748,0.9193,-0.1423,0.0854,0.3034,
3.680512,0.0125,0.2748,0.9193,-0.0778,0.0995,0.2337,
3.682387,0.0125,0.2748,0.9193,-0.0778,0.0995,0.2337,
3.734734,0.0208,0.2897,0.9286,-0.0778,0.0995,0.2337,
3.736505,0.0347,0.2958,0.9364,-0.0778,0.0995,0.2337,
3.738013,0.0323,0.2875,0.9439,-0.0778,0.0995,0.2337,
3.739427,0.0323,0.2875,0.9439,-0.1440,-0.0153,0.1724,
3.740562,0.0323,0.2875,0.9439,-0.1440,-0.0153,0.1724,
3.758715,0.0166,0.2704,0.9486,-0.1440,-0.0153,0.1724,
3.813329,0.0166,0.2704,0.9486,-0.1440,-0.0153,0.1724,
3.815093,0.0005,0.2626,0.9562,-0.1440,-0.0153,0.1724,
3.816656,-0.0088,0.2641,0.9491,-0.1440,-0.0153,0.1724,
3.818009,-0.0059,0.2841,0.9403,-0.1440,-0.0153,0.1724,
3.819375,-0.0059,0.2841,0.9403,-0.1077,-0.0383,-0.0439,
3.872091,0.0110,0.3129,0.9291,-0.1077,-0.0383,-0.0439,
3.873625,0.0081,0.3376,0.9222,-0.1077,-0.0383,-0.0439,
3.875201,-0.0093,0.3501,0.9183,-0.1077,-0.0383,-0.0439,
3.876546,-0.0093,0.3501,0.9183,-0.1077,-0.0383,-0.0439,
3.877537,-0.0093,0.3501,0.9183,-0.0008,-0.0039,-0.0189,
3.892459,-0.0256,0.3562,0.9181,-0.0008,-0.0039,-0.0189,
3.950592,-0.0256,0.3562,0.9181,0.0850,-0.0518,-0.0752,
3.952310,-0.0256,0.3562,0.9181,0.0850,-0.0518,-0.0752,
